"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019362","BP","GO:0019362","pyridine nucleotide metabolic process","11/132","180/18805",0.0611111111111111,8.70601851851852,8.73420132839561,5.77387788005905e-08,5.35606251721629e-05,5.0364583844424e-05,"ALDH1L1/PGM1/PGLS/NADK2/SLC4A4/GALK1/EIF6/SHPK/DCXR/BCL2L13/RPEL1",11
"GO:0046496","BP","GO:0046496","nicotinamide nucleotide metabolic process","11/132","180/18805",0.0611111111111111,8.70601851851852,8.73420132839561,5.77387788005905e-08,5.35606251721629e-05,5.0364583844424e-05,"ALDH1L1/PGM1/PGLS/NADK2/SLC4A4/GALK1/EIF6/SHPK/DCXR/BCL2L13/RPEL1",11
"GO:0072524","BP","GO:0072524","pyridine-containing compound metabolic process","11/132","187/18805",0.0588235294117647,8.3801247771836,8.52752562501374,8.52876197008963e-08,5.35606251721629e-05,5.0364583844424e-05,"ALDH1L1/PGM1/PGLS/NADK2/SLC4A4/GALK1/EIF6/SHPK/DCXR/BCL2L13/RPEL1",11
"GO:0006163","BP","GO:0006163","purine nucleotide metabolic process","15/132","448/18805",0.0334821428571429,4.76993709415584,6.79011758173441,6.0401169138043e-07,0.000284489506640182,0.00026751359910349,"ALDH1L1/PGM1/PGLS/TMSB4X/NADK2/SLC4A4/GALK1/EIF6/SHPK/DNPH1/APRT/NUDT5/DCXR/BCL2L13/RPEL1",15
"GO:0006739","BP","GO:0006739","NADP metabolic process","6/132","46/18805",0.130434782608696,18.5820158102767,10.0380135744888,7.93872192865189e-07,0.000299131042271603,0.000281281452756234,"ALDH1L1/PGLS/NADK2/SHPK/DCXR/RPEL1",6
"GO:0006740","BP","GO:0006740","NADPH regeneration","4/132","23/18805",0.173913043478261,24.7760210803689,9.59261943751548,1.85192034566296e-05,0.00581502988538171,0.0054680384942996,"ALDH1L1/PGLS/SHPK/RPEL1",4
"GO:0009185","BP","GO:0009185","ribonucleoside diphosphate metabolic process","7/132","128/18805",0.0546875,7.79089725378788,6.48162085683592,3.3432019614334e-05,0.00810096817973462,0.00761757148647523,"PGM1/SLC4A4/GALK1/EIF6/NUDT5/BCL2L13/RRM2B",7
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","13/132","484/18805",0.0268595041322314,3.82646193338342,5.29658897876394,3.68209440167017e-05,0.00810096817973462,0.00761757148647523,"ALDH1L1/PARK7/GAA/PGM1/PGLS/SLC4A4/GALK1/EIF6/ACADVL/SHPK/ACSS3/BCL2L13/RPEL1",13
"GO:0016052","BP","GO:0016052","carbohydrate catabolic process","8/132","179/18805",0.0446927374301676,6.36702217707804,6.06603824730081,3.88980534660417e-05,0.00810096817973462,0.00761757148647523,"GAA/PGM1/SLC4A4/GALK1/EIF6/NUDT5/MAN2B2/BCL2L13",8
"GO:0009132","BP","GO:0009132","nucleoside diphosphate metabolic process","7/132","134/18805",0.0522388059701493,7.44205110809588,6.29213184084,4.48353237493462e-05,0.00810096817973462,0.00761757148647523,"PGM1/SLC4A4/GALK1/EIF6/NUDT5/BCL2L13/RRM2B",7
"GO:1901292","BP","GO:1901292","nucleoside phosphate catabolic process","8/132","184/18805",0.0434782608695652,6.19400527009223,5.95271151114526,4.72986464846501e-05,0.00810096817973462,0.00761757148647523,"PGM1/SLC4A4/GALK1/EIF6/DNPH1/NUDT5/BCL2L13/UNG",8
"GO:0009191","BP","GO:0009191","ribonucleoside diphosphate catabolic process","6/132","105/18805",0.0571428571428571,8.14069264069264,6.16906327163916,9.72725705637344e-05,0.0148675664003671,0.013980396833064,"PGM1/SLC4A4/GALK1/EIF6/NUDT5/BCL2L13",6
"GO:1902176","BP","GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","4/132","35/18805",0.114285714285714,16.2813852813853,7.60798503410904,0.000102589364758372,0.0148675664003671,0.013980396833064,"HSPB1/PARK7/GPX1/HTRA2",4
"GO:0009134","BP","GO:0009134","nucleoside diphosphate catabolic process","6/132","108/18805",0.0555555555555556,7.91456228956229,6.05892595763095,0.000113693915272444,0.0152999525980917,0.0143869819100393,"PGM1/SLC4A4/GALK1/EIF6/NUDT5/BCL2L13",6
"GO:0009166","BP","GO:0009166","nucleotide catabolic process","7/132","162/18805",0.0432098765432099,6.15577066965956,5.54112869943632,0.000147977162646596,0.0185859316284124,0.0174768817357348,"PGM1/SLC4A4/GALK1/EIF6/DNPH1/BCL2L13/UNG",7
"GO:0008652","BP","GO:0008652","amino acid biosynthetic process","5/132","73/18805",0.0684931506849315,9.75767953507679,6.30323418758178,0.000161842301541189,0.019056931006475,0.0179197758877513,"PARK7/PHGDH/SLC1A3/PSPH/PCBD2",5
"GO:0006520","BP","GO:0006520","amino acid metabolic process","9/132","283/18805",0.0318021201413428,4.53059749437841,5.03155848049087,0.000176108329827395,0.019516946670283,0.0183523417399074,"PARK7/PHGDH/SLC1A3/PEPD/GSS/PSPH/ACY1/FAH/PCBD2",9
"GO:0044282","BP","GO:0044282","small molecule catabolic process","10/132","370/18805",0.027027027027027,3.8503276003276,4.65563696241213,0.000286533435495591,0.0299904995818719,0.0282009223356187,"ALDH1L1/PARK7/PGM1/GALK1/ACADVL/TST/NUDT5/DCXR/FAH/BCL2L13",10
"GO:0046434","BP","GO:0046434","organophosphate catabolic process","8/132","242/18805",0.0330578512396694,4.70949161031806,4.88318336067926,0.000313321992800523,0.0310683491808518,0.0292144550627856,"PGM1/SLC4A4/GALK1/EIF6/DNPH1/NUDT5/BCL2L13/UNG",8
"GO:0006098","BP","GO:0006098","pentose-phosphate shunt","3/132","20/18805",0.15,21.3693181818182,7.66286066138158,0.000353139866400392,0.0318746466709042,0.0299726395950004,"PGLS/SHPK/RPEL1",3
"GO:1902175","BP","GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","4/132","48/18805",0.0833333333333333,11.8718434343434,6.34084529348486,0.00035529064760562,0.0318746466709042,0.0299726395950004,"HSPB1/PARK7/GPX1/HTRA2",4
"GO:0170034","BP","GO:0170034","L-amino acid biosynthetic process","4/132","50/18805",0.08,11.3969696969697,6.18925369139607,0.000415983590377141,0.0356233220122969,0.0334976259619487,"PARK7/PHGDH/PSPH/PCBD2",4
"GO:0006195","BP","GO:0006195","purine nucleotide catabolic process","6/132","139/18805",0.0431654676258993,6.14944408109876,5.1232689375734,0.000447039405081689,0.0366183582249523,0.0344332868994271,"PGM1/SLC4A4/GALK1/EIF6/DNPH1/BCL2L13",6
"GO:0046365","BP","GO:0046365","monosaccharide catabolic process","4/132","55/18805",0.0727272727272727,10.3608815426997,5.8452420038825,0.00059959315217749,0.0457608925994862,0.0430302727930134,"PGM1/GALK1/NUDT5/BCL2L13",4
"GO:0006096","BP","GO:0006096","glycolytic process","5/132","97/18805",0.0515463917525773,7.34340830990315,5.2662308339734,0.000607230528124817,0.0457608925994862,0.0430302727930134,"PGM1/SLC4A4/GALK1/EIF6/BCL2L13",5
"GO:0046032","BP","GO:0046032","ADP catabolic process","5/132","99/18805",0.0505050505050505,7.19505662687481,5.19609940716048,0.00066643551379727,0.0464464113216156,0.043674885604134,"PGM1/SLC4A4/GALK1/EIF6/BCL2L13",5
